,PAI_id,booking_id,str_id,geom_id,ufi,name,location,local_address,street_address,star_rating,review_score,review_score_text,review_count,amount_per_stay,mean_adr_sar,median_adr_sar,revpar,occupancy_rate,number_of_keys,opened_at,str_class,recently_opened,link,parent_chain,returning_aid_share,mall_visitations_pct,business_park_visitations_pct,footfall_score,footfall_score_domestic,footfall_score_international,ranking,ranking_domestic,ranking_international,volatility,quadrant,distance,has_gym,has_wellness_centre,has_event_halls,has_business_centre,has_restaurant,has_pool
3,5,172716.0,12018652,172716,900040280.0,Ramada by Wyndham Hotel Riyadh,Riyadh,King Abdul Aziz Road,"King Abdul Aziz Road, 12443 Riyadh, Saudi Arabia",4.0,7.7,Good,3861,799.73,325.662770247934,240.7104,170.69,52.41274795114647,92.0,2022,Midscale,,https://www.booking.com/hotel/sa/coral-gulf-riyadh.en-gb.html,Wyndham Hotels and Resort,0.1820809248554913,0.2076923076923077,0.04038461538461538,0.07183736526105122,0.06257424062446972,0.09585361759274802,169,190,105,19.30078643459743,Low ADR & Low Occupancy,2823.716,1,1,1,1,1,1
9,11,1616727.0,11703842,1616727,900040280.0,Best Western Plus Fursan,Riyadh,"Exit 12, Eastern Ring Road","Exit 12, Eastern Ring Road, 11421 Riyadh, Saudi Arabia",4.0,8.1,Very good,995,899.7,393.37088,349.344,196.23,49.88495110968733,66.0,2017,Upper Midscale,,https://www.booking.com/hotel/sa/best-western-plus-fursan.en-gb.html,Best Western,0.1337792642140468,0.3294314381270903,0.05183946488294314,0.04395913064850251,0.04297471576446632,0.04012086620782273,269,266,258,34.19016083140353,Low ADR & Low Occupancy,12788.122,1,1,1,1,1,1
11,13,11206034.0,-1,11206034,900040280.0,Samt Inn Hotel,Riyadh,King Fahd Road,"King Fahd Road, 12612 Riyadh, Saudi Arabia",4.0,8.3,Very good,797,799.73,326.0100266666668,320.1216,309.71,95.0,44.0,2009,,,https://www.booking.com/hotel/sa/samt-inn-fndq-smt-n.en-gb.html,,0.1470143613000756,0.3979630328178046,0.07091663523198793,0.1825778589234928,0.170286780926523,0.1990935034413295,54,59,44,17.17822222766191,Low ADR & High Occupancy,838.615,1,1,1,0,0,0
22,24,8153128.0,11680685,8153128,900040280.0,Warwick Riyadh Al Wezarat,"Al Malaz, Riyadh","King Abdul Aziz Road Al Malaz, 11564 Riyadh-Saudi Arabia","King Abdul Aziz Road Al Malaz, 11564 Riyadh-Saudi Arabia, Al Malaz, 11564 Riyadh, Saudi Arabia",4.0,8.8,Fabulous,6471,941.93,478.1818285714286,451.3755,256.6,53.66250402001268,90.0,2022,Upper Upscale,,https://www.booking.com/hotel/sa/warwick-riyadh.en-gb.html,Warwick Hotels and Resorts,0.208780487804878,0.2928015564202335,0.061284046692607,0.07538358905937291,0.07708297980655014,0.05539701191875105,160,148,191,28.11875943038949,Low ADR & Low Occupancy,3362.411000000001,0,0,1,0,1,0
23,25,454888.0,11628501,454888,900040280.0,Dalin Hotel,"Al Olaya, Riyadh",Al Riyadh - General Olaya Street in the back of Jarir book store  ,"Al Riyadh - General Olaya Street in the back of Jarir book store  , Al Olaya, 11564 Riyadh, Saudi Arabia",4.0,6.7,Average,6049,599.8,222.4734857142857,216.4736,127.34,57.23622370528224,90.0,2016,Upper Midscale,,https://www.booking.com/hotel/sa/plaza-inn-business-hotel.en-gb.html,,0.1738382099827883,0.2633390705679862,0.05249569707401033,0.08998981777325234,0.0787374851518751,0.1186839012925969,129,145,82,27.90599533466204,Low ADR & High Occupancy,2071.499,0,0,1,1,1,0
24,26,10007976.0,-1,10007976,900040280.0,Golden Dune Hotel Almalaz,"Al Malaz, Riyadh","7415 Salah Ad Din Al Ayyubi Road 7415 Salah Ad Din Al Ayyubi Rd, 2166, Al Malaz, Riyadh 12831","7415 Salah Ad Din Al Ayyubi Road 7415 Salah Ad Din Al Ayyubi Rd, 2166, Al Malaz, Riyadh 12831, Al Malaz, 12831 Riyadh, Saudi Arabia",4.0,8.1,Very good,1483,549.82,301.5968,212.8832,139.65,46.30485304795042,41.0,2012,,,https://www.booking.com/hotel/sa/golden-dune-almalaz.en-gb.html,,0.151702786377709,0.3390092879256966,0.05263157894736842,0.03282890347951266,0.03406584082810114,0.02215880476750042,328,318,359,22.87348472876774,Low ADR & Low Occupancy,5208.172999999999,1,1,1,1,0,0
25,27,10781173.0,-1,10781173,900040280.0,Vivian Park El Raeid Hotel,Riyadh,شارع عبدالعزيز بن أحمد السديري,"شارع عبدالعزيز بن أحمد السديري, 12355 Riyadh, Saudi Arabia",4.0,9.3,Superb,379,1169.61,911.4559525925928,670.1568,260.48,28.57808156234086,61.0,2023,,,https://www.booking.com/hotel/sa/fndq-fyfyn-brk-lry-d-vivian-park-elraeid.en-gb.html,Vivian Park Hotel & Suites,0.1046511627906977,0.3953488372093023,0.09302325581395349,0.008356448158421403,0.009078567792295945,0.004028873594090985,448,445,445,48.9755133952127,High ADR & Low Occupancy,3839.826,1,1,0,1,1,1
28,31,6780232.0,-1,6780232,900040280.0,Art View Hotel Al Riyadh,Riyadh,King Abdullah Road,"King Abdullah Road, 11564 Riyadh, Saudi Arabia",4.0,7.9,Good,4741,1087.74,586.5088,400.4224,314.92,53.69380519904533,76.0,2020,,,https://www.booking.com/hotel/sa/art-view.en-gb.html,,0.1790073230268511,0.413484971567831,0.06661251015434608,0.08187914750184333,0.08446461903953845,0.05724357898270942,147,133,183,20.1835768339883,Low ADR & Low Occupancy,4537.204999999999,1,1,1,1,1,1
29,33,725110.0,11732988,725110,900040280.0,Haven Plaza,"Al Olaya, Riyadh","شارع العليا العام, مقابل سوق الكمبيوتر، Saudi Arabia","شارع العليا العام, مقابل سوق الكمبيوتر، Saudi Arabia, Al Olaya, 11663 Riyadh, Saudi Arabia",4.0,6.4,Average,1747,494.14,251.3328175824176,247.1296,116.62,46.40016440718876,160.0,2018,Upscale,,https://www.booking.com/hotel/sa/ossuo-uossop-o-osso-o1-ossuo1uuoss.en-gb.html,,0.1775528978840846,0.2444852941176471,0.03308823529411765,0.08124714722095432,0.07152553877481758,0.1054221923787141,150,165,94,19.49642168464659,Low ADR & Low Occupancy,1356.525,0,0,1,0,1,0
30,34,9270084.0,19792834,9270084,900040280.0,Mira Business Hotel,"Al Olaya, Riyadh",Olaya Street,"Olaya Street, Al Olaya, 11721 Riyadh, Saudi Arabia",4.0,8.2,Very good,4940,875.86,796.264822857143,875.768,379.3,47.63437871944983,170.0,2022,Upper Upscale,,https://www.booking.com/hotel/sa/mira-business.en-gb.html,,0.1716842961757526,0.3238405207485761,0.05370219690805533,0.09585337593483374,0.09214322077040557,0.0936713110626154,114,118,112,19.34295620613277,High ADR & Low Occupancy,2368.066,1,1,0,0,1,0
